msprime's Standard Coalescent $\hat{R_{CO}}$,msprime's $\hat{R_{SMC}}$,msprime's $\hat{R_{SMC'}}$,Dave's $\hat{R_{SMC}}$,Dave's $\hat{R_{SMC'}}$
0.14,0.092,0.144,1.113,1.099
1.462,0.995,1.276,2.052,1.995
18.806,11.062,14.308,11.051,10.594
552.977,112.796,143.823,100.227,101.124
26072.097,1144.032,1441.773,1002.188,1001.55
