msprime's Standard Coalescent $\hat{R_{CO}}$,msprime's $\hat{R_{SMC}}$,msprime's $\hat{R_{SMC'}}$,Dave's $\hat{R_{SMC}}$,Dave's $\hat{R_{SMC'}}$
0.115,0.105,0.105,1.209,1.203
1.422,0.988,1.395,2.971,2.903
19.121,11.107,14.268,21.333,20.686
556.118,115.02,140.813,201.767,200.371
25941.796,1140.943,1437.477,2000.763,1997.564
